title,url,writer
"지식재산처, ‘EU 지식재산 제도 설명회’ 개최",http://boannews.com/media/view.asp?idx=139698&page=6&kind=1,IP전략연구소 | 2025년 10월 11일 00:12
"[기자수첩] OS 세대교체기 다가왔는데, 윈11 점유율은 고작 46%",http://boannews.com/media/view.asp?idx=139692&page=6&kind=6,조재호 기자 | 2025년 10월 10일 19:03
너무 조용한 ‘정부 해킹’ 국감 오를까...국정원 3차장 출석,http://boannews.com/media/view.asp?idx=139696&page=6&kind=1,강현주 기자 | 2025년 10월 10일 17:37
"고립가구 지킨 서울시 스마트안부확인 서비스, 3년간 10만건 달성",http://boannews.com/media/view.asp?idx=139693&page=6&kind=2,강초희 기자 | 2025년 10월 10일 17:27
"[배종찬의 보안 빅데이터] 보안 사고는 ‘심각’, 보안 예산은 ‘망각’",http://boannews.com/media/view.asp?idx=139694&page=6&kind=1,권준  기자 | 2025년 10월 10일 16:53
랜섬웨어 생태계 격변...록빗 등 빅3 위협 그룹 동맹,http://boannews.com/media/view.asp?idx=139690&page=7&kind=4,한세희 기자 | 2025년 10월 10일 14:22
"센스톤 ‘올해의 종합 IoT 보안 솔루션’ 단독 선정, 누적 4회 수상",http://boannews.com/media/view.asp?idx=139685&page=7&kind=3,조재호 기자 | 2025년 10월 10일 11:45
美 ‘AI특허’ 동향 세미나...US특허 획득 전략 등 전격 공개,http://boannews.com/media/view.asp?idx=139689&page=7&kind=1,IP전략연구소 | 2025년 10월 10일 11:27
과기정통부 “일본·중동 블록체인 시장 본격 공략”,http://boannews.com/media/view.asp?idx=139688&page=7&kind=2,강현주 기자 | 2025년 10월 10일 11:23
"[AI와 보안] 오픈AI, 중국 연계 해커 계정 대규모 차단",http://boannews.com/media/view.asp?idx=139687&page=7&kind=4,한세희 기자 | 2025년 10월 10일 11:11
국가정보자원관리원 화재 상황을 악용한 보이스피싱·스미싱 주의,http://boannews.com/media/view.asp?idx=139684&page=7&kind=2,강초희 기자 | 2025년 10월 10일 10:50
"양천구 자율방재단, 2년 연속 ‘국가재난관리’ 행안부장관 표창 수상",http://boannews.com/media/view.asp?idx=139682&page=7&kind=2,강초희 기자 | 2025년 10월 10일 10:48
"시놀로지, 안전성과 신뢰성, AI 혁신까지 모두 담은 ‘DiskStation Manager 7.3’ 출시",http://boannews.com/media/view.asp?idx=139681&page=7&kind=3,강초희 기자 | 2025년 10월 10일 10:46
"“그럼, 우리가 보호해줄께!”...영업비밀 등 특허 커버 불가, ‘新대안’ 급부상",http://boannews.com/media/view.asp?idx=139686&page=7&kind=3,IP전략연구소 | 2025년 10월 10일 10:42
송경희 제3대 개인정보위원장 “신뢰기반 AI 혁신 최선 다할 것”...취임식 개최,http://boannews.com/media/view.asp?idx=139683&page=7&kind=2,강현주 기자 | 2025년 10월 10일 10:34
"랜섬웨어 그룹 킬린, “아사히 맥주 해킹 우리 소행...27GB 데이터 털었다” 주장",http://boannews.com/media/view.asp?idx=139680&page=7&kind=1,한세희 기자 | 2025년 10월 09일 15:48
잇단 통신사 해킹에 불안...통신분쟁조정 신청 늘고 있다,http://boannews.com/media/view.asp?idx=139679&page=7&kind=1,한세희 기자 | 2025년 10월 09일 15:13
[김정덕의 보안 다반사-5] ‘불꽃야구’가 던지는 사이버보안의 교훈,http://boannews.com/media/view.asp?idx=139678&page=7&kind=2,한세희 기자 | 2025년 10월 09일 11:36
올 하반기 사이버 보안 최대 화두는 역시 ‘AI 활용한 해킹과 방어’,http://boannews.com/media/view.asp?idx=139669&page=7&kind=1,조재호 기자 | 2025년 10월 09일 10:44
보안 사고 후속 조치 관건은 “고객 관점의 신속성·투명성”,http://boannews.com/media/view.asp?idx=139644&page=7&kind=1,조재호 기자 | 2025년 10월 09일 10:43
"삼성전자 상반기 특허등록, 1만건 육박...‘역대급’",http://boannews.com/media/view.asp?idx=139677&page=7&kind=1,IP전략연구소 | 2025년 10월 09일 00:20
